Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [SUB] Juanda, Indonesia
Airport: [OVB] Tolmachevo, Russia
Airport: [TSN] Binhai, China
Airport: [KWE] Longdongbao, China
Airport: [BRS] Bristol, United Kingdom
Airport: [POA] Salgado Filho, Brazil
Airport: [LTN] Luton, United Kingdom
Airport: [CWB] Afonso Pena, Brazil
Airport: [WLG] Wellington Intl, New Zealand
Airport: [GDL] Don Miguel Hidalgo Y Costilla Intl, Mexico
Airport: [FUK] Fukuoka, Japan
Airport: [KHI] Jinnah Intl, Pakistan
Airport: [HYD] Hyderabad, India
Airport: [CMB] Bandaranaike Intl Colombo, Sri Lanka
Airport: [TAS] Yuzhny, Uzbekistan
Airport: [MCI] Kansas City Intl, United States
Airport: [OPO] Porto, Portugal
Airport: [MLA] Luqa, Malta
Airport: [CGH] Congonhas, Brazil
Airport: [BNA] Nashville Intl, United States
Airport: [UIO] Mariscal Sucre Intl, Ecuador
Airport: [NNG] Wuxu, China
Airport: [ALA] Almaty, Kazakhstan
Airport: [EMA] Nottingham East Midlands, United Kingdom
Airport: [NGO] Chubu Centrair Intl, Japan
Airport: [FAO] Faro, Portugal
Airport: [ACE] Lanzarote, Spain
Airport: [LOS] Murtala Muhammed, Nigeria
Airport: [SFB] Orlando Sanford Intl, United States
Airport: [CHC] Christchurch Intl, New Zealand
Airport: [TYN] Wusu, China
Airport: [HOU] William P Hobby, United States
Airport: [TUN] Carthage, Tunisia
Airport: [HET] Baita Airport, China
Airport: [BGO] Flesland, Norway
Airport: [FOC] Changle, China
Airport: [NCL] Newcastle, United Kingdom
Airport: [YWG] Winnipeg Intl, Canada
Airport: [LCA] Larnaca, Cyprus
Airport: [BUD] Ferihegy, Hungary
Airport: [KTN] Ketchikan Intl, United States
Airport: [CFU] Ioannis Kapodistrias Intl, Greece
Airport: [CGB] Marechal Rondon, Brazil
Airport: [YFB] Iqaluit, Canada
Airport: [DMM] King Fahd Intl, Saudi Arabia
Airport: [DAC] Zia Intl, Bangladesh
Airport: [AER] Sochi, Russia
Airport: [KEF] Keflavik International Airport, Iceland
Airport: [RGN] Yangon Intl, Burma
Airport: [CTA] Catania Fontanarossa, Italy
Airport: [OAK] Metropolitan Oakland Intl, United States
Airport: [BSL] EuroAirport Basel-Mulhouse-Freiburg, Switzerland
Airport: [ACC] Kotoka Intl, Ghana
Airport: [BAH] Bahrain Intl, Bahrain
Airport: [SKG] Makedonia, Greece
Airport: [AUS] Austin Bergstrom Intl, United States
Airport: [BEL] Val De Cans Intl, Brazil
Airport: [YRT] Rankin Inlet, Canada
Airport: [PUS] Gimhae Intl, South Korea
Airport: [CPT] Cape Town Intl, South Africa
Airport: [YOW] Ottawa Macdonald Cartier Intl, Canada
Airport: [MTY] General Mariano Escobedo Intl, Mexico
Airport: [KRT] Khartoum, Sudan
Airport: [TLS] Blagnac, France
Airport: [RDU] Raleigh Durham Intl, United States
Airport: [PSA] Pisa, Italy
Airport: [BKI] Kota Kinabalu Intl, Malaysia
Airport: [CRL] Brussels South, Belgium
Airport: [ABV] Nnamdi Azikiwe Intl, Nigeria
Airport: [GRO] Girona, Spain
Airport: [MEM] Memphis Intl, United States
Airport: [SYZ] Shiraz Shahid Dastghaib Intl, Iran
Airport: [MAH] Menorca, Spain
Airport: [SAL] El Salvador Intl, El Salvador
Airport: [MES] Polonia, Indonesia
Airport: [ANI] Aniak Airport, United States
Airport: [SAT] San Antonio Intl, United States
Airport: [HAK] Meilan, China
Airport: [BEY] Rafic Hariri Intl, Lebanon
Airport: [OGG] Kahului, United States
Airport: [ESB] Esenboga, Turkey
Airport: [SYX] Phoenix International, China
Airport: [KHN] Changbei Intl, China
Airport: [KWL] Liangjiang, China
Airport: [BPN] Sepinggan, Indonesia
Airport: [REC] Guararapes Gilberto Freyre Intl, Brazil
Airport: [TNR] Ivato, Madagascar
Airport: [CJU] Jeju Intl, South Korea
Airport: [TSE] Astana Intl, Kazakhstan
Airport: [VLC] Valencia, Spain
Airport: [GYE] Jose Joaquin De Olmedo Intl, Ecuador
Airport: [HKT] Phuket Intl, Thailand
Airport: [LPB] El Alto Intl, Bolivia
Airport: [HAJ] Hannover, Germany
Airport: [MSY] Louis Armstrong New Orleans Intl, United States
Airport: [LCY] City, United Kingdom
Airport: [BLQ] Bologna, Italy
Airport: [SPU] Split, Croatia
Airport: [OKA] Naha, Japan
Airport: [DKR] Leopold Sedar Senghor Intl, Senegal
Airport: [TIP] Tripoli Intl, Libya
Airport: [SXF] Schonefeld, Germany
Airport: [SJC] Norman Y Mineta San Jose Intl, United States
Airport: [TAH] Tanna island, Vanuatu
Airport: [YZV] Sept Iles, Canada
Airport: [FUE] Fuerteventura, Spain
Airport: [BEG] Beograd, Serbia
Airport: [KGS] Kos, Greece
Airport: [SDU] Santos Dumont, Brazil
Airport: [WIL] Nairobi Wilson, Kenya
Airport: [MDL] Mandalay Intl, Burma
Airport: [CVG] Cincinnati Northern Kentucky Intl, United States
Airport: [NAP] Capodichino, Italy
Airport: [DBV] Dubrovnik, Croatia
Airport: [MFM] Macau Intl, Macau
Airport: [SZB] Subang-Sultan Abdul Aziz Shah Intl, Malaysia
Airport: [LHW] Lanzhou Airport, China
Airport: [LBA] Leeds Bradford, United Kingdom
Airport: [NTE] Nantes Atlantique, France
Airport: [ISB] Chaklala, Pakistan
Airport: [OLB] Olbia Costa Smeralda, Italy
Airport: [GYD] Heydar Aliyev, Azerbaijan
Airport: [YQB] Quebec Jean Lesage Intl, Canada
Airport: [MKE] General Mitchell Intl, United States
Airport: [MYY] Miri, Malaysia
Airport: [PIT] Pittsburgh Intl, United States
Airport: [ITM] Osaka Intl, Japan
Airport: [YWK] Wabush, Canada
Airport: [PUJ] Punta Cana Intl, Dominican Republic
Airport: [SXM] Princess Juliana Intl, Netherlands Antilles
Airport: [SMF] Sacramento Intl, United States
Airport: [YHZ] Halifax Intl, Canada
Airport: [RKV] Reykjavik, Iceland
Airport: [BIO] Bilbao, Spain
Airport: [LUN] Lusaka Intl, Zambia
Airport: [ULN] Chinggis Khaan Intl, Mongolia
Airport: [AKN] King Salmon, United States
Airport: [ADB] Adnan Menderes, Turkey
Airport: [ABJ] Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
Airport: [LUX] Luxembourg, Luxembourg
Airport: [WNZ] Wenzhou Yongqiang Airport, China
Airport: [IND] Indianapolis Intl, United States
Airport: [PEN] Penang Intl, Malaysia
Airport: [HFE] Luogang, China
Airport: [CMH] Port Columbus Intl, United States
Airport: [KHV] Novy, Russia
Airport: [COK] Cochin, India
Airport: [YQT] Thunder Bay, Canada
Airport: [DLA] Douala, Cameroon
Airport: [TRD] Vaernes, Norway
Airport: [KJA] Emelyanovo, Russia
Airport: [FOR] Pinto Martins Intl, Brazil
Airport: [RAK] Menara, Morocco
